time,Vref,Vt,Vfd,Id,Iq,Vd,Vq,P,Q,Pm,omega,delta
1.34,1.06,1.0023341231673504,1.4393960243284938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.35,1.06,1.002478214242045,1.445083429124438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.36,1.06,1.0026252511952114,1.4505212892214145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.37,1.06,1.0027751135778307,1.4557201692248132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.3800000000000001,1.06,1.0029276846408062,1.4606901611512384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.3900000000000001,1.06,1.003082851355016,1.4654409065058942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.4000000000000001,1.06,1.0032405044069743,1.4699816172230216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.41,1.06,1.0034005381742142,1.4743210955407786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.42,1.06,1.0035628506839283,1.478467752876062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.43,1.06,1.0037273435579068,1.4824296277594695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.44,1.06,1.003893921946381,1.486214402885876,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.45,1.06,1.0040624944530057,1.489829421331821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.46,1.06,1.004232973052895,1.4932817019870708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.47,1.06,1.0044052730053368,1.4965779542442519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.48,1.06,1.004579312762576,1.4997245919873192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.49,1.06,1.0047550138758423,1.5027277469167712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.5,1.06,1.0049323008996203,1.5055932812469601,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.51,1.06,1.0051111012949976,1.5083267998084788,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.52,1.06,1.0052913453327972,1.5109336615864715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.53,1.06,1.0054729659970802,1.513418990723754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.54,1.06,1.0056558988895052,1.5157876870158327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.55,1.06,1.0058400821349436,1.518044435923259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.56,1.06,1.0060254562886795,1.5201937181252485,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.57,1.06,1.0062119642454541,1.522239818637083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.58,1.06,1.0063995511505632,1.524186835512527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.59,1.06,1.0065881643131698,1.5260386881512942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.6,1.06,1.0067777531219522,1.5277991252304848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.61,1.06,1.0069682689631778,1.5294717322778864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.62,1.06,1.0071596651412607,1.5310599389040673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.6300000000000001,1.06,1.0073518968018378,1.5325670257092985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.6400000000000001,1.06,1.0075449208573815,1.5339961308804984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.6500000000000001,1.06,1.0077386959153434,1.535350256492617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.6600000000000001,1.06,1.0079331822088164,1.536632274528136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.67,1.06,1.0081283415296867,1.5378449326276795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.68,1.06,1.008324137164236,1.5389908595840747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.69,1.06,1.0085205338311547,1.5400725705915965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.7,1.06,1.0087174976219093,1.5410924722615638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.71,1.06,1.0089149959434112,1.5420528674148957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.72,1.06,1.0091129974629274,1.5429559596617455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.73,1.06,1.00931147205517,1.5438038577778348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.74,1.06,1.0095103907514995,1.5445985798866546,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
