time,GRID1:omega,GEN1:Vt,GEN1:Vfd,GEN1:Id,GEN1:Iq,GEN1:Vd,GEN1:Vq,GEN1:P,GEN1:Q,GRID1:delta,GEN1:delta,GEN1:omega
3.64,1.0000000019918658,1.0327470814082877,2.0470782200095594,0.29187231830347293,0.06295804946857075,0.19182188641034054,1.0147762798032456,0.11987583391131647,0.2841083735317702,-0.012047978848559878,0.18900513021877471,0.9999361310491415
3.65,1.0000000019647806,1.0328330729915587,2.047320033523402,0.2924908433322962,0.06288389149099337,0.19163941196582693,1.0148982670428492,0.11987352572070979,0.2847974180363921,-0.01204797266194848,0.18880484460898558,0.9999362910321514
3.66,1.0000000019375415,1.0329187407621077,2.0475559849586875,0.29310717788860124,0.06281100377420899,0.19145724392060123,1.0150198267856179,0.11987190662302538,0.2854839752596128,-0.012047966560821365,0.18860506503585842,0.9999364516894375
3.67,1.0000000019101822,1.0330040849970188,2.047786112143288,0.2937213209589679,0.06273936924290639,0.19127538656623116,1.0151409587414286,0.11987096265324715,0.2861680462562271,-0.012047960545574062,0.18840579209073852,0.9999366124505173
3.68,1.0000000018827355,1.0330891059898677,2.0480104526221763,0.29433327074451543,0.06266896574990087,0.19109384309799468,1.0152616628460778,0.11987067423426027,0.28684963237887634,-0.012047954616497688,0.18820702461683442,0.9999367727663561
3.69,1.0000000018552326,1.0331738040487208,2.048229043663743,0.29494302470344486,0.06259976637659251,0.19091261564193313,1.0153819392530379,0.11987101649172957,0.28752873525501127,-0.012047948773785124,0.1880087597885834,0.999936932113675
3.7,1.0000000018277035,1.0332581794941267,2.048441922267323,0.2955505795995597,0.06253173976875591,0.19073170529057287,1.0155017883236184,0.11987195960879998,0.28820535676255365,-0.012047943017535192,0.18781099320375594,0.9999370899989232
3.71,1.000000001800176,1.0333422326571127,2.0486491251718633,0.2961559315561968,0.06246485050378426,0.19055111214678339,1.015621210615656,0.11987346921647929,0.28887949900453325,-0.01204793734775731,0.18761371898715187,0.9999372459618832
3.72,1.0000000017726762,1.033425963877212,2.048850688865603,0.29675907611488184,0.06239905948533952,0.19037083537518137,1.0157402068708812,0.11987550681534428,0.2895511642828919,-0.012047931764379047,0.1874169299046742,0.9999373995788867
3.73,1.000000001745228,1.0335093735005285,2.049046649596659,0.2973600082981087,0.062334324361134404,0.19019087326042428,1.015858778001102,0.11987803022397062,0.2902203550717716,-0.012047926267251237,0.18722061748649083,0.9999375504656234
3.74,1.0000000017178525,1.0335924618778591,2.0492370433843785,0.2979587226755435,0.062270599959559116,0.19001122327170566,1.015976925073362,0.11988099404944122,0.29088707399050645,-0.012047920856156587,0.18702477215795682,0.9999376982795244
